1.191,10.929,,,,,,,,,,
1.186,10.836,,,,,,,,,,
1.182,10.742,,,,,,,,,,
1.177,10.647,,,,,,,,,,
1.173,10.555,,,,,,,,,,
1.168,10.46,,,,,,,,,,
1.163,10.366,,,,,,,,,,
1.159,10.271,,,,,,,,,,
1.154,10.182,,,,,,,,,,
1.149,10.093,,,,,,,,,,
1.144,10.003,,,,,,,,,,
1.139,9.914,,,,,,,,,,
1.134,9.824,,,,,,,,,,
1.129,9.735,,,,,,,,,,
1.125,9.645,,,,,,,,,,
1.12,9.555,,,,,,,,,,
1.115,9.466,,,,,,,,,,
1.109,9.376,,,,,,,,,,
1.104,9.286,,,,,,,,,,
1.099,9.196,,,,,,,,,,
1.095,9.105,,,,,,,,,,
1.088,9.019,,,,,,,,,,
1.08,8.932,,,,,,,,,,
1.073,8.845,,,,,,,,,,
1.066,8.764,,,,,,,,,,
1.058,8.682,,,,,,,,,,
1.051,8.601,,,,,,,,,,
1.044,8.521,,,,,,,,,,
1.036,8.439,,,,,,,,,,
1.028,8.358,,,,,,,,,,
1.021,8.277,,,,,,,,,,
1.013,8.197,,,,,,,,,,
1.004,8.116,,,,,,,,,,
0.994,8.045,,,,,,,,,,
0.984,7.974,,,,,,,,,,
0.973,7.91,,,,,,,,,,
0.963,7.848,,,,,,,,,,
0.952,7.786,,,,,,,,,,
0.942,7.723,,,,,,,,,,
0.931,7.662,,,,,,,,,,
0.921,7.599,,,,,,,,,,
0.91,7.537,,,,,,,,,,
0.899,7.473,,,,,,,,,,
0.888,7.411,,,,,,,,,,
0.877,7.348,,,,,,,,,,
0.866,7.285,,,,,,,,,,
0.855,7.224,,,,,,,,,,
0.843,7.16,,,,,,,,,,
0.832,7.098,,,,,,,,,,
0.821,7.036,,,,,,,,,,
0.809,6.973,,,,,,,,,,
0.797,6.91,,,,,,,,,,
0.787,6.855,,,,,,,,,,
0.776,6.801,,,,,,,,,,
0.765,6.746,,,,,,,,,,
0.753,6.69,,,,,,,,,,
0.742,6.637,,,,,,,,,,
0.731,6.581,,,,,,,,,,
0.72,6.526,,,,,,,,,,
0.709,6.47,,,,,,,,,,
0.697,6.413,,,,,,,,,,
0.686,6.356,,,,,,,,,,
0.674,6.301,,,,,,,,,,
0.663,6.244,,,,,,,,,,
0.651,6.186,,,,,,,,,,
0.64,6.13,,,,,,,,,,
0.628,6.071,,,,,,,,,,
0.619,6.017,,,,,,,,,,
0.609,5.963,,,,,,,,,,
0.599,5.91,,,,,,,,,,
0.589,5.855,,,,,,,,,,
0.579,5.801,,,,,,,,,,
0.569,5.744,,,,,,,,,,
0.559,5.682,,,,,,,,,,
0.55,5.62,,,,,,,,,,
0.541,5.557,,,,,,,,,,
0.532,5.492,,,,,,,,,,
0.523,5.427,,,,,,,,,,
0.514,5.363,,,,,,,,,,
0.505,5.298,,,,,,,,,,
0.496,5.232,,,,,,,,,,
0.487,5.165,,,,,,,,,,
0.479,5.098,,,,,,,,,,
0.473,5.031,,,,,,,,,,
0.466,4.964,,,,,,,,,,
0.46,4.893,,,,,,,,,,
0.454,4.825,,,,,,,,,,
0.448,4.752,,,,,,,,,,
0.442,4.679,,,,,,,,,,
0.436,4.608,,,,,,,,,,
0.43,4.539,,,,,,,,,,
0.424,4.467,,,,,,,,,,
0.417,4.396,,,,,,,,,,
0.411,4.322,,,,,,,,,,
0.406,4.249,,,,,,,,,,
0.4,4.176,,,,,,,,,,
0.395,4.098,,,,,,,,,,
0.391,4.019,,,,,,,,,,
0.388,3.933,,,,,,,,,,
0.385,3.851,,,,,,,,,,
0.383,3.774,,,,,,,,,,
0.383,3.735,,,,,,,,,,
0.384,3.692,,,,,,,,,,
0.385,3.649,,,,,,,,,,
0.387,3.61,,,,,,,,,,
0.39,3.573,,,,,,,,,,
0.393,3.539,,,,,,,,,,
0.396,3.507,,,,,,,,,,
0.4,3.478,,,,,,,,,,
0.404,3.452,,,,,,,,,,
0.408,3.428,,,,,,,,,,
0.412,3.405,,,,,,,,,,
0.417,3.384,,,,,,,,,,
0.421,3.365,,,,,,,,,,
0.426,3.348,,,,,,,,,,
0.43,3.331,,,,,,,,,,
0.435,3.316,,,,,,,,,,
0.44,3.303,,,,,,,,,,
0.445,3.291,,,,,,,,,,
0.449,3.279,,,,,,,,,,
0.454,3.268,,,,,,,,,,
0.459,3.257,,,,,,,,,,
0.464,3.247,,,,,,,,,,
0.47,3.239,,,,,,,,,,
0.477,3.232,,,,,,,,,,
0.483,3.226,,,,,,,,,,
0.489,3.22,,,,,,,,,,
0.496,3.214,,,,,,,,,,
0.502,3.209,,,,,,,,,,
0.508,3.205,,,,,,,,,,
0.514,3.202,,,,,,,,,,
0.521,3.198,,,,,,,,,,
0.527,3.194,,,,,,,,,,
0.533,3.19,,,,,,,,,,
0.539,3.186,,,,,,,,,,
0.546,3.182,,,,,,,,,,
0.552,3.177,,,,,,,,,,
0.558,3.17,,,,,,,,,,
0.564,3.161,,,,,,,,,,
0.569,3.151,,,,,,,,,,
0.575,3.138,,,,,,,,,,
0.581,3.124,,,,,,,,,,
0.586,3.107,,,,,,,,,,
0.591,3.086,,,,,,,,,,
0.596,3.064,,,,,,,,,,
0.601,3.04,,,,,,,,,,
0.606,3.013,,,,,,,,,,
0.61,2.983,,,,,,,,,,
0.614,2.951,,,,,,,,,,
0.618,2.918,,,,,,,,,,
0.62,2.891,,,,,,,,,,
0.624,2.844,,,,,,,,,,
0.628,2.792,,,,,,,,,,
0.632,2.736,,,,,,,,,,
0.635,2.681,,,,,,,,,,
0.638,2.624,,,,,,,,,,
0.641,2.567,,,,,,,,,,
0.644,2.509,,,,,,,,,,
0.647,2.452,,,,,,,,,,
0.649,2.393,,,,,,,,,,
0.652,2.336,,,,,,,,,,
0.654,2.276,,,,,,,,,,
0.657,2.218,,,,,,,,,,
0.659,2.158,,,,,,,,,,
0.662,2.101,,,,,,,,,,
0.665,2.041,,,,,,,,,,
0.668,1.985,,,,,,,,,,
0.671,1.926,,,,,,,,,,
0.674,1.869,,,,,,,,,,
0.676,1.81,,,,,,,,,,
0.679,1.751,,,,,,,,,,
0.683,1.694,,,,,,,,,,
0.686,1.637,,,,,,,,,,
0.689,1.577,,,,,,,,,,
0.692,1.52,,,,,,,,,,
0.695,1.466,,,,,,,,,,
0.699,1.403,,,,,,,,,,
0.702,1.347,,,,,,,,,,
0.705,1.289,,,,,,,,,,
0.71,1.235,,,,,,,,,,
0.714,1.178,,,,,,,,,,
0.718,1.125,,,,,,,,,,
0.722,1.068,,,,,,,,,,
0.726,1.01,,,,,,,,,,
0.731,0.956,,,,,,,,,,
0.735,0.899,,,,,,,,,,
0.739,0.839,,,,,,,,,,
0.744,0.785,,,,,,,,,,
0.749,0.729,,,,,,,,,,
0.754,0.679,,,,,,,,,,
0.759,0.619,,,,,,,,,,
0.766,0.568,,,,,,,,,,
0.773,0.513,,,,,,,,,,
0.779,0.466,,,,,,,,,,
0.785,0.407,,,,,,,,,,
0.793,0.357,,,,,,,,,,
0.799,0.313,,,,,,,,,,
0.806,0.249,,,,,,,,,,
0.813,0.199,,,,,,,,,,
0.82,0.152,,,,,,,,,,
0.825,0.096,,,,,,,,,,
0.821,0.115,,,,,,,,,,
0.817,0.137,,,,,,,,,,
0.813,0.16,,,,,,,,,,
0.817,0.134,,,,,,,,,,
0.818,0.126,,,,,,,,,,
0.823,0.091,,,,,,,,,,
0.829,0.048,,,,,,,,,,
0.836,0.002,,,,,,,,,,
0.842,-0.04,,,,,,,,,,
0.849,-0.083,,,,,,,,,,
0.856,-0.127,,,,,,,,,,
0.863,-0.17,,,,,,,,,,
0.869,-0.213,,,,,,,,,,
0.877,-0.254,,,,,,,,,,
0.884,-0.297,,,,,,,,,,
0.891,-0.338,,,,,,,,,,
0.898,-0.383,,,,,,,,,,
0.905,-0.427,,,,,,,,,,
0.912,-0.469,,,,,,,,,,
0.92,-0.508,,,,,,,,,,
0.927,-0.549,,,,,,,,,,
0.934,-0.596,,,,,,,,,,
0.942,-0.635,,,,,,,,,,
0.95,-0.675,,,,,,,,,,
0.957,-0.716,,,,,,,,,,
0.965,-0.76,,,,,,,,,,
0.972,-0.799,,,,,,,,,,
0.98,-0.839,,,,,,,,,,
0.988,-0.881,,,,,,,,,,
0.996,-0.925,,,,,,,,,,
1.004,-0.964,,,,,,,,,,
1.012,-1.004,,,,,,,,,,
1.02,-1.046,,,,,,,,,,
1.028,-1.082,,,,,,,,,,
1.036,-1.127,,,,,,,,,,
1.045,-1.166,,,,,,,,,,
1.055,-1.204,,,,,,,,,,
1.066,-1.242,,,,,,,,,,
1.076,-1.273,,,,,,,,,,
1.088,-1.314,,,,,,,,,,
1.099,-1.347,,,,,,,,,,
1.11,-1.382,,,,,,,,,,
1.12,-1.419,,,,,,,,,,
1.131,-1.457,,,,,,,,,,
1.142,-1.486,,,,,,,,,,
1.152,-1.527,,,,,,,,,,
1.163,-1.559,,,,,,,,,,
1.174,-1.592,,,,,,,,,,
1.184,-1.627,,,,,,,,,,
1.195,-1.663,,,,,,,,,,
1.205,-1.699,,,,,,,,,,
1.215,-1.738,,,,,,,,,,
1.225,-1.777,,,,,,,,,,
1.236,-1.805,,,,,,,,,,
1.246,-1.847,,,,,,,,,,
1.256,-1.878,,,,,,,,,,
1.268,-1.907,,,,,,,,,,
1.282,-1.935,,,,,,,,,,
1.296,-1.965,,,,,,,,,,
1.309,-1.995,,,,,,,,,,
1.323,-2.028,,,,,,,,,,
1.337,-2.062,,,,,,,,,,
1.35,-2.08,,,,,,,,,,
1.364,-2.116,,,,,,,,,,
1.378,-2.154,,,,,,,,,,
1.392,-2.174,,,,,,,,,,
1.406,-2.195,,,,,,,,,,
1.421,-2.236,,,,,,,,,,
1.435,-2.258,,,,,,,,,,
1.449,-2.282,,,,,,,,,,
1.463,-2.306,,,,,,,,,,
1.478,-2.331,,,,,,,,,,
1.492,-2.357,,,,,,,,,,
1.506,-2.384,,,,,,,,,,
1.521,-2.411,,,,,,,,,,
1.537,-2.438,,,,,,,,,,
1.556,-2.462,,,,,,,,,,
1.577,-2.463,,,,,,,,,,
1.596,-2.498,,,,,,,,,,
