1.191,10.924,,,,,,,
1.186,10.833,,,,,,,
1.182,10.741,,,,,,,
1.178,10.649,,,,,,,
1.173,10.557,,,,,,,
1.169,10.467,,,,,,,
1.164,10.374,,,,,,,
1.159,10.282,,,,,,,
1.155,10.192,,,,,,,
1.15,10.105,,,,,,,
1.145,10.018,,,,,,,
1.14,9.932,,,,,,,
1.135,9.844,,,,,,,
1.131,9.757,,,,,,,
1.126,9.668,,,,,,,
1.122,9.581,,,,,,,
1.116,9.493,,,,,,,
1.111,9.406,,,,,,,
1.106,9.318,,,,,,,
1.101,9.23,,,,,,,
1.096,9.143,,,,,,,
1.091,9.056,,,,,,,
1.084,8.97,,,,,,,
1.076,8.886,,,,,,,
1.069,8.803,,,,,,,
1.062,8.724,,,,,,,
1.055,8.644,,,,,,,
1.048,8.566,,,,,,,
1.041,8.487,,,,,,,
1.033,8.408,,,,,,,
1.026,8.328,,,,,,,
1.018,8.25,,,,,,,
1.01,8.171,,,,,,,
1.002,8.091,,,,,,,
0.992,8.024,,,,,,,
0.981,7.955,,,,,,,
0.971,7.894,,,,,,,
0.961,7.833,,,,,,,
0.951,7.773,,,,,,,
0.94,7.711,,,,,,,
0.93,7.65,,,,,,,
0.92,7.588,,,,,,,
0.909,7.528,,,,,,,
0.899,7.468,,,,,,,
0.888,7.405,,,,,,,
0.877,7.344,,,,,,,
0.866,7.283,,,,,,,
0.855,7.223,,,,,,,
0.844,7.161,,,,,,,
0.833,7.1,,,,,,,
0.822,7.039,,,,,,,
0.81,6.978,,,,,,,
0.799,6.916,,,,,,,
0.788,6.862,,,,,,,
0.778,6.807,,,,,,,
0.767,6.754,,,,,,,
0.756,6.701,,,,,,,
0.745,6.647,,,,,,,
0.734,6.593,,,,,,,
0.723,6.539,,,,,,,
0.713,6.482,,,,,,,
0.701,6.427,,,,,,,
0.69,6.373,,,,,,,
0.679,6.317,,,,,,,
0.668,6.261,,,,,,,
0.657,6.205,,,,,,,
0.646,6.148,,,,,,,
0.635,6.09,,,,,,,
0.624,6.035,,,,,,,
0.615,5.981,,,,,,,
0.605,5.927,,,,,,,
0.595,5.872,,,,,,,
0.586,5.817,,,,,,,
0.576,5.763,,,,,,,
0.567,5.707,,,,,,,
0.557,5.649,,,,,,,
0.548,5.586,,,,,,,
0.539,5.523,,,,,,,
0.531,5.46,,,,,,,
0.522,5.397,,,,,,,
0.513,5.332,,,,,,,
0.504,5.269,,,,,,,
0.496,5.201,,,,,,,
0.488,5.133,,,,,,,
0.48,5.066,,,,,,,
0.474,4.999,,,,,,,
0.468,4.932,,,,,,,
0.462,4.864,,,,,,,
0.456,4.793,,,,,,,
0.451,4.722,,,,,,,
