1.191,10.94,,,,,,,
1.186,10.841,,,,,,,
1.182,10.744,,,,,,,
1.177,10.645,,,,,,,
1.172,10.546,,,,,,,
1.167,10.447,,,,,,,
1.162,10.348,,,,,,,
1.157,10.248,,,,,,,
1.152,10.154,,,,,,,
1.147,10.061,,,,,,,
1.142,9.967,,,,,,,
1.136,9.873,,,,,,,
1.131,9.78,,,,,,,
1.126,9.685,,,,,,,
1.122,9.59,,,,,,,
1.117,9.496,,,,,,,
1.111,9.402,,,,,,,
1.106,9.307,,,,,,,
1.1,9.212,,,,,,,
1.095,9.117,,,,,,,
1.088,9.026,,,,,,,
1.08,8.934,,,,,,,
1.072,8.842,,,,,,,
1.065,8.758,,,,,,,
1.057,8.673,,,,,,,
1.05,8.587,,,,,,,
1.042,8.502,,,,,,,
1.034,8.417,,,,,,,
1.026,8.33,,,,,,,
1.017,8.245,,,,,,,
1.009,8.16,,,,,,,
0.999,8.084,,,,,,,
0.987,8.011,,,,,,,
0.976,7.94,,,,,,,
0.966,7.874,,,,,,,
0.955,7.809,,,,,,,
0.944,7.743,,,,,,,
0.933,7.677,,,,,,,
0.921,7.61,,,,,,,
0.91,7.546,,,,,,,
0.899,7.479,,,,,,,
0.887,7.413,,,,,,,
0.876,7.347,,,,,,,
0.864,7.281,,,,,,,
0.852,7.215,,,,,,,
0.84,7.15,,,,,,,
0.828,7.083,,,,,,,
0.816,7.017,,,,,,,
0.804,6.951,,,,,,,
0.792,6.889,,,,,,,
0.781,6.833,,,,,,,
0.769,6.775,,,,,,,
0.757,6.718,,,,,,,
0.746,6.661,,,,,,,
0.734,6.603,,,,,,,
0.722,6.547,,,,,,,
0.71,6.489,,,,,,,
0.698,6.431,,,,,,,
0.686,6.372,,,,,,,
0.674,6.315,,,,,,,
0.661,6.255,,,,,,,
0.649,6.197,,,,,,,
0.637,6.137,,,,,,,
0.625,6.081,,,,,,,
0.615,6.025,,,,,,,
0.604,5.971,,,,,,,
0.593,5.915,,,,,,,
0.582,5.861,,,,,,,
0.572,5.799,,,,,,,
0.562,5.737,,,,,,,
0.552,5.674,,,,,,,
0.542,5.61,,,,,,,
0.532,5.546,,,,,,,
0.522,5.481,,,,,,,
0.512,5.415,,,,,,,
0.502,5.348,,,,,,,
0.493,5.28,,,,,,,
0.483,5.212,,,,,,,
0.476,5.145,,,,,,,
0.469,5.077,,,,,,,
0.461,5.009,,,,,,,
0.454,4.94,,,,,,,
0.447,4.871,,,,,,,
0.44,4.803,,,,,,,
0.432,4.735,,,,,,,
0.425,4.664,,,,,,,
0.418,4.595,,,,,,,
0.411,4.524,,,,,,,
0.404,4.453,,,,,,,
0.396,4.383,,,,,,,
0.389,4.31,,,,,,,
0.382,4.238,,,,,,,
0.375,4.166,,,,,,,
0.369,4.092,,,,,,,
0.364,4.017,,,,,,,
0.359,3.942,,,,,,,
0.354,3.862,,,,,,,
0.35,3.78,,,,,,,
0.347,3.693,,,,,,,
0.343,3.609,,,,,,,
0.34,3.531,,,,,,,
0.34,3.486,,,,,,,
0.34,3.436,,,,,,,
0.341,3.388,,,,,,,
0.343,3.344,,,,,,,
0.345,3.305,,,,,,,
0.348,3.268,,,,,,,
0.351,3.236,,,,,,,
0.355,3.208,,,,,,,
0.359,3.182,,,,,,,
0.363,3.158,,,,,,,
0.368,3.137,,,,,,,
0.374,3.118,,,,,,,
0.379,3.101,,,,,,,
0.385,3.085,,,,,,,
0.39,3.07,,,,,,,
0.396,3.057,,,,,,,
0.402,3.045,,,,,,,
0.407,3.033,,,,,,,
0.413,3.022,,,,,,,
0.419,3.012,,,,,,,
0.424,3.002,,,,,,,
